質問,回答
やぶいゆか<U57dfbc33a37056085b13a01ebe086bcb>: 注文について,
北坂 侑香<U4879f14c99381bb2ed406ada2f380af7>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、ありがとうございます。
 

 状況を確認いたしますので、
 

 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・購入モール名（楽天・アマゾン等）
 

 をお教えいただけますでしょうか？"
佐知子<U75ec88d9a54d768fe2e1d9c139335c77>: 注文について,
"Kinoco<U7b9cf871db1b32ecc0ba24506853524b>: ありがとうございます。
 ブースターは週2くらいで使用しようと思ってい
 まして 1度使ったところです。
 集中ケアで毎日使用した方が良いでしょうか？
 その際 トリートメントは使用しない方が良いのでしょうか？トリートメントを使用しないとごわつきでコームも入らないような感じだったと思うのですが
 大袈裟かもしれませんが。
 

 トリートメントはしっかりと洗い流した方が良いですか？
 

 よろしくお願い致します。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信ありがとうございます。
 ブースターは、1度使ってみてくださったのですね。
 

 ビルドアップの解消を目的に集中ケアをされる場合は、基本的に「トリートメントを使わない」ことをおすすめしています。
 

 ですが、Kinocoさまが教えてくださったように、トリートメントを使わないとコームが通らないほどごわついてしまう場合には、無理に控える必要はなく、少量お使いいただくほうがよいかと思います。
 

 

 トリートメントをお使いになる際は、なじませたら時間を置かずにすぐによく洗い流してください。
 

 「つるりんちょ。」は、シャンプーで“泡パック”をすることで補修成分が浸透しやすくなり、トリートメントは“すぐ流す”ことで軽い仕上がりを叶える設計になっています。
 

 そのため、トリートメントをつけたまま時間を置いてしまうと、髪質によってはベタつきや重さを感じることがあり、また、すすぎ残しがあると、それがビルドアップの原因にもなってしまいます。
 

 ですので、すすぎはしっかり、時間をかけておこなってくださいね😊
 

 

 ブースターは、「まずは5～10日くらい連続して使って様子を見る」のもおすすめです。
 この場合も、ごわつきが強ければ、少量のトリートメントを使いながらケアしていただければと思います。
 

 下記に「ブースターを使ったおすすめの洗髪方法」をまとめましたので、よければ参考にしてください。
 

 ◆ブースターシャンプーの使用方法
 

 １．まず、お湯で髪をよくすすぎ、予洗いします。
 

 ２．次に「つるりんちょ。シャンプー」を軽く使用し、すぐに洗い流します。※この時のシャンプーは“予洗い”のため、時間を置く必要はありません。
 

 ３．続いて、「つるりんちょ。ブースターシャンプー」を3プッシュほど手に取り、泡立てて髪全体を洗い、そのまま泡で3分間泡パックします。
 

 ４．3分経ったら、しっかりと泡を洗い流します。
 

 ５．最後に、「つるりんちょ。トリートメント」を中間～毛先につけて、すぐに（時間を置かずに）、しっかりと洗い流してください。
 

 ６．ドライヤーでしっかりと乾かしてください。
 仕上げの冷風も効果的：
 ドライヤー後に冷風を当てると、キューティクルが引き締まり、ツヤが出てまとまりがぐっと良くなります。
 ※触って冷たい部分があれば乾ききっていないため、再度、温風でしっかりと乾かしてください
 

 ご不明な点があれば、いつでもご相談くださいませ。"
Rieko Fuse<U494e87166ca4ef1f09d7c78c8d6d16f8>: 注文について,
M.N<U6b756b70702aee99b199c2ce12e47b72>: 支払いについて,
"北坂 侑香<U4879f14c99381bb2ed406ada2f380af7>: 北坂 侑香
 09082157713
 yuukabeiban8@gmail.com
 【髪にドラマを。オンラインショップ】","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 ご注文の確認が取れました。
 

 お届けを大変長らくお待たせし申し訳ございません。
 

 お調べいたしましたところ、6月12日にご注文いただいたeギフトは、6月16日に発送させていただいておりました。
 なお、下記の状況で弊社へ返送されてまいりましたので、ご注文のキャンセルならびに、決済のキャンセル手続きを行わせていただきました。
 ※カードの締め日によってはいったんお引き落としとなり翌月か翌々月にカード会社様よりご返金となる場合がございます。あらかじめご了承くださいませ。
  
 ■輸送状況はこちらからご確認くださいませ
  
 ・配送業者
 ゆうパック 
 ・配送伝票番号
  369659936855 
 ・トラッキング URL
 https://trackings.post.japanpost.jp/services/srv/search/input
  
 誠に恐れ入りますが、改めてご希望をいただけます場合には、マイページへログイン後、新しくご注文をいただけますと幸いです。
 https://shop.kaminidoramawo.jp/
 

 大切な方への贈りものとしてお選びいただいたにもかかわらず、無事にお届けができず誠に申し訳ございません。
 何卒よろしくお願い申し上げます。"
北坂 侑香<U4879f14c99381bb2ed406ada2f380af7>: 何の連絡もなかったのですが、どうしてですか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは残念なお気持ちにさせてしまい、誠に申し訳ございません。
 

 現在、弊社では商品が返送されてきた際に、個別でのご連絡は行っておりません。
 法的な義務はないものの、お客様にご不便をおかけする結果となり、心よりお詫び申し上げます。
 

 いただいたご意見は真摯に受け止め、今後の返送時のご案内体制について、社内での改善を検討してまいります。
 

 改めまして、このたびはご迷惑をおかけしましたこと、重ねてお詫び申し上げます。"
カズヨ<Ucf8572865e44552655b36fc8a9c88722>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 注文についてお問い合わせをいただきありがとうございます。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・ご注文番号
 ・ご購入いただいたサイト名（髪にドラマを。公式オンラインショップ、楽天市場、Amazon、Qoo10など）"
"カズヨ<Ucf8572865e44552655b36fc8a9c88722>: 森崎和津代
 09023890025
 kazuyo-v120@docomo.ne.jp","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 6月28日、ご注文を確かに承りましたこと、確認させていただきました。
 

 また、商品は、下記にて発送をさせていただいておりました。
 お受け取りのほど、よろしくお願いいたします。
 

 ─────────────────────
  ご注文情報詳細
 ─────────────────────
 

 ご注文番号：de8a14a6fa
 商品コード: kdrs001
 商品名：【セット】つるりんちょ。シャンプー＆トリートメント（ボトル）
 数量：1
 

 購入履歴はこちら
 https://shop.kaminidoramawo.jp/shop/customer
 └今回のご注文詳細は「最近の購入履歴」からご確認いただけます
 

 ─────────────────────
 お届け先
 ─────────────────────
 

 お名前 ：森崎 和津代様
 郵便番号：671-2421
 住所 ：兵庫県 姫路市安富町長野 388ー9 アピア安富306
 

 

 ─────────────────────
 配送情報
 ─────────────────────
 

 商品の配達状況・履歴はこちらの情報でご確認いただけます。
 

 配送業者 ゆうパック
 配送伝票番号 369608065945
 トラッキング URL https://trackings.post.japanpost.jp/services/srv/search/input"
カズヨ<Ucf8572865e44552655b36fc8a9c88722>: ありがとーございます。,
⭐︎りえ⭐︎<Ue49762a152f33aa020e7c7688a246e56>: 注文について,
kyae<U7ba3b24181d7b0c4226becb1281baf6e>: 正しい使い方,
さむぎょぷさる<U2d6c1775fea7772ab34dea11fa0f10ff>: 注文について,
"北坂 侑香<U4879f14c99381bb2ed406ada2f380af7>: 不在票なども入ってなかったそうです。
 これはどちらの宅配業者に依頼してますか？","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 

 このたびは大切な贈り物としてご利用いただいたにもかかわらず、商品がお届けできずご不快な思いをおかけし、誠に申し訳ございません。
 

 配送は日本郵便にて手配しておりましたが、不在票が入っていなかったとのこと、重ねてお詫び申し上げます。
 

 ■輸送状況はこちらからご確認くださいませ
  
 ・配送業者
 ゆうパック 
 

 ・配送伝票番号
 369659936855 
 

 ・トラッキング URL
 https://trackings.post.japanpost.jp/services/srv/search?requestNo1=369659936855+&requestNo2=&requestNo3=&requestNo4=&requestNo5=&requestNo6=&requestNo7=&requestNo8=&requestNo9=&requestNo10=&search.x=72&search.y=31&startingUrlPatten=&locale=ja
 

 

 キャンセルにつきまして、現在、弊社では商品が返送された際に個別でのご連絡は行っておりませんが、今回の件を受け、今後のご案内体制について社内で見直しを検討してまいります。
 

 このたびは、勝手なキャンセルと受け取られるような状況となってしまい、誠に申し訳ございませんでした。
 

 ご希望いただけます場合には、大変お手数ではございますが、改めてご注文いただけますと幸いです。
 

 何卒よろしくお願い申し上げます。"
中間利沙: 今購入した場合ヘアオイルはリニューアル後のものでしょうか？,【公式】髪にドラマを。楽天市場店: はい、「 髪にドラマを。ヘアオイル」をリニューアルした商品「いるかのせなか。ヘアオイル」でございます。
"kyoka<Uc93e7f3e409159599be7507b99790535>: メッセージ失礼します。
 美容師なのですが質問させてください。
 お客様で定期的にマスオの髪質改善、縮毛矯正をして、ホームケアでつるりんちょ（トリートメントは普通タイプ、ブースターも使ってます）使っていただいてる方がサイドの毛先だけずっと重いみたいです。
 アウトバスは最近はミストだけにしてるそうです。出かける前に重めのオイルはつけているみたいです。トリートメントで時間を置かないことや水気を切らずにトリートメントつけることもやって頂いててお店でもジョイシャンプーも行ったりしてますが中々変わらずでこの場合どうしたら改善するかわかりますでしょうか🙇","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): こんにちは。
 この度は、【公式】髪にドラマを。ホームケアLINEにお問い合わせをいただきありがとうございます😊
  
 美容師様でいらっしゃるのですね。
 こちらはエンドユーザー専用LINEです。
 

 美容師様でしたら、商品の使い方や仕上がりなどは、オープンチャットでぜひご相談くださいませ。
  
 ▼オープンチャット「髪にドラマを。」
 https://line.me/ti/g2/SI6gOXUwY8wc1UE7wXUVDsoWhJhOrA7fyNSJ-Q?utm_source=invitation&utm_medium=link_copy&utm_campaign=default
  
 ※オープンチャットは
 ・髪ドラからのお知らせ
 ・商材の使い方をディスカッション
 ・ご使用いただいている方の質問やこれからご使用いただく方
 ・ご検討いただいている方からの質問
 ・運営講師たちの使い方
 ・スペック
 などをお伝えするチャットです
  
 承認制になっております。
 【サロン名・フルネーム】
 をご登録ください。
 ※情報が足りない場合は、承認がおりませんのでご注意ください。
 

 どうぞよろしくお願いいたします。"
みえこ<U580ee44529f183c3dd2ecdd7eebd99d9>: 定期を解約したいです。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせをいただき、ありがとうございます。
 

 状況を確認いたしますので、
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・注文番号（わかれば）
 

 をお教えいただけますでしょうか？"
Yurie<Uf25ba409b9ee55ee5d86c3b637045a85>: 正しい使い方,
M.N<U6b756b70702aee99b199c2ce12e47b72>: 注文について,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): このたびは、「支払いについて」お問い合わせくださいまして、ありがとうございます。
 よろしければ、ご用件をお聞かせいただけますか？"
yokko<Ua7279a1def5e95442ca8a5eb085adcf9>: 注文について,
"M.N<U6b756b70702aee99b199c2ce12e47b72>: 先日
 お試しセットを購入して
 後払いを選択していて請求書が届いていません","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・ご注文番号
 ・ご購入いただいたサイト名（髪にドラマを。公式オンラインショップ、楽天市場、Amazon、Qoo10など）"
まゆ<Ub45391a7274202124626365a20b0774e>: ご連絡、ご対応、ありがとうございました。,
"M.N<U6b756b70702aee99b199c2ce12e47b72>: 名前 野口 美幸
 電話 08031391128 
 メールアドレスmiooo0318@icloud.com
 購入先はわからないです
 公式サイトかもしれません。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お客様情報のご確認、誠にありがとうございます。
 

 このたびは「つるりんちょ。お試しセット（シャンプー＆２種類のトリートメント）【たっぷり約12回分】」を
 公式オンラインショップにてご購入いただき、誠にありがとうございます。
 

 また、お支払いに関しましてご心配をおかけしましたこと、深くお詫び申し上げます。
 

 ご選択いただきましたご決済方法「GMO後払い別送」の請求書は、別送にて手配をさせていただいております。
  
 請求書の発行の手配・ご連絡はGMOペイメントサービス株式会社よりさせていただきます。
 https://www.gmo-ps.com/customer_2/
 

 請求書が発行できましたら、その旨ご案内のメールをご登録メールアドレス宛にお送りいたします。
 メールの送信元ドメインは、 @gmo-ps.comです。メールをご確認いただけますようお願いいたします。
  
 なお、請求書は、会員情報にご登録の住所へ発送させていただきます。
 ※会員情報はこちら https://shop.kaminidoramawo.jp/shop/customer/edit
  
 請求書のお届けまで、恐れ入りますが、今しばらくお待ちくださいませ。
 何卒よろしくお願いいたします。"
chiaki<U2f28cb055f873f4f24fb263905819943>: 注文について,
kЁiKο*<Uac981a9581498867ca0c283d2a68052d>: 注文について,
永井（宮島）伸枝<Ub17fa33df7f30e90634dbaf2cd9685ba>: 定期便の住所変更を行なっていませんでした。発送前に変更できるでしょうか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 注文についてお問い合わせをいただきありがとうございます。
  
 まずは、ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・ご注文番号
 

 

 また、変更後のお届け先情報もお教えくださいませ。"
"永井（宮島）伸枝<Ub17fa33df7f30e90634dbaf2cd9685ba>: ・永井伸枝
 ・080-6267-8467
 ・nobu38island@icloud.com
 ・e8be62268a
 

 

 ●変更後住所
 〒390-0221
 長野県松本市里山辺4285-1富士電機西小松社宅301
 

 お手数をおかけしてしまい、申し訳ありません。","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご返信くださいましてありがとうございます。
 

 とんでもないことでございます。
 確認し、明日改めてご連絡させていただきます。
 

 恐れ入りますが、今しばらくお待ちくださいませ。
 どうぞよろしくお願いいたします。"
"押井美香<Uad57a8de68102852389bbfe0edef3784>: ありがとうございます‼️
 参考になります🙏","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 何よりでございます😊
 またなにかありましたらいつでもご連絡くださいませ。
 これからどうぞよろしくお願いいたします。"
ゆい<Uc48d3f4c58f408108a97170df838cf19>: 正しい使い方,
あいこ<U46e6c74f9e72984eeca09de8aec6ed4c>: 注文について,
Makoto<Ue54fb25b1b8348f482f92ac944791f37>: 注文について,
"中嶋花菜: 注文番号：【425398-20250626-0959801334】
 カテゴリー：商品配送について
 内容：本日日にち指定してたのに届かなかった","【公式】髪にドラマを。楽天市場店: お届けを大変長らくお待たせしており、誠に申し訳ございません。
 ただいまの輸送状況について、日本郵便に確認を行っております。
 進捗がわかり次第、すぐにご連絡させていただきます。
 何卒よろしくお願いいたします。"
ひろみ<U7a7915b4d9a5c9f01bf804913b9b8148>: 正しい使い方,
"Kinoco<U7b9cf871db1b32ecc0ba24506853524b>: ご丁寧にお答え下さり ありがとうございました(ありがとう)
 

 ドライヤー後は
 これまでにない
 落ち着いた質感がありますので とても感謝しています。
 集中ケア頑張ってしていきます！","【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご丁寧にご感想をお寄せいただき、ありがとうございます😊
 ドライヤー後の落ち着いた質感を感じていただけているとのこと、大変うれしく思います！
 

 集中ケアも、ぜひ楽しみながら続けてみてくださいね。
 今後も髪の変化を実感していただけるよう、サポートさせていただきます。
 ご不明点やお困りのことなどございましたら、またいつでもお気軽にご相談くださいませ。"
松岡恭子<U5c1f37372b74e46895f60a3a86605633>: 正しい使い方,
池田佳子<Ubb05d7e567e09467bbb41f9e605f0313>: 正しい使い方,
ひろこ<U809686a6a078c1428dc96d2445256441>: 注文について,
F☺︎lku☺︎<U2895fce03138846bba550138d65bef43>: 注文について,
りえこ<U9bd3f3431024f736b90e5a897a6fc56c>: 注文について,
琴音<Ue13fe2a6fe854be71debfaac7d8b5d2e>: 正しい使い方,
s.maki<Udac48a53ab235aec26186241d45053e1>: 正しい使い方,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせいただきありがとうございます。
 

 ご心配をおかけしましたが、
 定期便【注文番号：bb2c033af0】につきましては、ステータスが「停止」となっており、解約は正常に完了しておりますのでご安心ください。
 

 何かご不明点などございましたら、いつでもお気軽にお問い合わせくださいませ。"
hiro<U704d63f7e7b63508d06af9afad5779b4>: 正しい使い方,
武石奈々<Ua10b08ad5dbad1d34a5be9f5775b59b5>: 正しい使い方,
ヒデミン<U4ce68ac488c0b7257e06630136bf8251>: 注文について,
s.maki<Udac48a53ab235aec26186241d45053e1>: ご返答ありがとうございました。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): とんでもございません。
 

 そのほかご不明な点がございましたら、いつでもお気軽にお問い合わせください。
 今後とも「髪にドラマを。」をどうぞよろしくお願いいたします。"
えみな<U57d738882b2d24b729ec7ac420c5e512>: 注文について,
S<Ud3aeaa5be4224e5be9cd6927fafd1277>: 注文について,
なつ<U3741b00d1456b66e3c287822d700d93e>: 誕生日,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): お問い合わせありがとうございます。
 

 お誕生日クーポンにつきましては、
 税抜価格に対して300円の値引きが適用されるクーポンとなっております。
 

 ご注文の際、クーポンコードをご入力いただければ、自動で割引が反映されます。
 ご不明点などございましたら、どうぞお気軽にご連絡くださいませ。"
信安早紀<U391ca6ab6825d86957273f9fb9bd2c0f>: 解約手続きをお願いします,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 問い合わせくださいましてありがとうございます。
  
 定期便の解約は、マイページよりお手続きいただけます。
 手順は以下でご案内させていただきます。
  
 なお、変更期日が過ぎて確定しているご注文は予定通り発送させていただきます。
 確定しているご注文の詳細は、「購入履歴」よりご確認いただけます。
 ※購入履歴https://shop.kaminidoramawo.jp/shop/customer/orders
  
 ご確認とお手続きのほどよろしくお願いいたします。
  
 ▼定期便の解約手順
  
 １）マイページにログインしてください
 https://shop.kaminidoramawo.jp/shop/customer
  
 ２）ご利用中の定期購入（次回お届け予定）の「詳細を見る」をクリックしてください
  
 ３）画面下までスクロールして、「定期便を停止」のボタンより解約していただけます
  
 該当定期便のステータスが「停止」となっている場合は解約完了。
 次回以降、お届けしない手続きが完了となります。
 以上です。
  
 ご不明な点がおありの際は、恐れ入りますが、再度お尋ねくださいませ。
 どうぞよろしくお願いいたします。"
信安早紀<U391ca6ab6825d86957273f9fb9bd2c0f>: メッセージの送信を取り消しました,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご連絡ありがとうございます。
 無事に解約が完了されたとのことで、安心いたしました。
 

 また何かお困りのことがございましたら、いつでもお気軽にご連絡くださいませ。"
弘田 尚美<Ue49c7b6e44cc10dac83ba877e4f93839>: 注文について,
信安早紀<U391ca6ab6825d86957273f9fb9bd2c0f>: この画面が出れば解約されていますか？,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): ご確認ありがとうございます。
 

 スクリーンショットを確認させていただきましたが
 念の為、こちらでも状況を確認させていただきたく存じます。
 

 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 

 をお教えいただけますでしょうか？"
たぁー<U78c1ae0484932e747c178e4ea5b977b9>: 注文について,
立花よしか<U31f2102d7bb65f900e6b0cfe7c83ba58>: 注文について,
Masafumi Shimoji<U06f960f92efcf236238ef1d99483692e>: 注文について,
菜々子<U4414f198f6981d559f4198f1e1599fc7>: 正しい使い方,
y<U6704a3a9caeb3397b342c83a83d4ba76>: 受け取りできなくて戻ってしまったかと思います。,"【公式】髪にドラマを。ホームケア(Channel ID: 2005643948): 注文についてお問い合わせをいただきありがとうございます。
  
 ご注文状況をお調べいたします。
 恐れ入りますが、ご登録の以下の情報をお教えください。
  
 ・登録氏名
 ・登録電話番号
 ・登録メールアドレス
 ・ご注文番号
 ・ご購入いただいたサイト名（髪にドラマを。公式オンラインショップ、楽天市場、Amazon、Qoo10など）"
